Iteration,Discriminator Loss,Generator Loss
0,0.834919,0.732203
10,0.685387,0.743306
20,0.525589,1.070498
30,0.483598,1.555363
40,0.537452,1.341864
50,0.577128,1.568994
60,0.508323,1.633289
70,1.013700,0.843083
80,0.985981,1.389223
90,1.085791,1.293197
100,1.152406,1.338069
110,1.474720,2.557307
120,1.863186,0.010566
130,7.245066,0.250654
140,3.033301,0.001078
150,1.068174,1.502309
160,2.914863,5.252181
170,4.649774,0.154343
180,2.917321,0.009193
190,0.929768,0.692902
200,0.655411,0.555159
210,4.964489,0.452027
220,0.515546,2.322443
230,3.434963,5.577403
240,0.582422,2.109949
250,4.497860,0.414111
260,0.457183,0.559080
270,0.219444,4.672678
280,0.283334,0.756091
290,5.667896,0.024466
300,10.419679,0.139829
310,3.091789,0.000140
320,1.907853,2.729728
330,7.062277,0.293899
340,7.564600,0.275925
350,3.902289,0.000965
360,6.942936,0.521918
370,7.190560,0.334972
380,2.731548,0.081374
390,4.970946,0.178144
400,3.352543,0.033399
410,4.722208,7.089209
420,6.429288,2.123947
430,2.918897,3.558580
440,0.831789,1.127581
450,4.058641,0.028681
460,5.527384,0.783890
470,1.510178,6.988294
480,1.867531,5.179471
490,2.724113,3.115370
500,2.793036,2.855563
510,0.590565,2.455139
520,1.980845,0.056286
530,1.617149,0.096295
540,2.061921,0.053673
550,2.020228,5.968950
560,0.795653,1.080605
570,4.416212,0.097273
580,2.820373,0.152362
590,0.619492,2.066713
600,4.597142,1.659140
610,0.992359,0.140261
620,0.822636,3.844289
630,2.535988,0.732912
640,0.816813,0.116519
650,1.515864,1.455391
660,0.519632,0.923341
670,3.105052,0.026281
680,0.926663,0.111480
690,3.288830,1.436057
700,0.670233,0.374765
710,1.329588,0.105112
720,2.531530,0.384111
730,0.986110,0.195262
740,3.845415,1.571583
750,0.531895,1.542213
760,2.708197,0.778123
770,5.352351,0.267562
780,1.756373,6.188278
790,0.948556,3.291851
800,0.901809,1.354534
810,0.325100,1.691796
820,2.625379,0.464764
830,1.463538,3.464481
840,1.787495,6.066818
850,3.511486,0.607812
860,2.323257,0.864842
870,3.699023,0.787608
880,2.323533,1.483662
890,1.774222,0.069165
900,1.298614,0.523914
910,2.666072,0.220780
920,0.546001,1.916762
930,0.171092,2.252870
940,0.798287,0.999871
950,2.269734,0.198305
960,0.618600,0.221621
970,0.135262,2.013843
980,1.544812,0.609140
990,0.984768,0.604973
1000,0.773376,0.567335
1010,0.801582,0.404294
1020,1.001677,0.821113
1030,0.762142,0.665945
1040,0.869131,1.257083
1050,1.142519,0.408493
1060,0.808639,1.313229
1070,0.617754,0.890167
1080,0.553734,0.310774
1090,0.770050,0.805610
1100,1.349275,0.323889
1110,1.627435,0.290371
1120,0.935148,0.314595
1130,0.375147,0.350557
1140,0.244086,0.642330
1150,0.153831,4.270768
1160,1.171943,0.880105
1170,0.880262,0.870794
1180,1.797464,0.256457
1190,0.221099,1.675840
1200,0.966228,0.737825
1210,0.957755,1.038313
1220,0.817644,1.143200
1230,1.067704,0.338379
1240,0.588043,0.130534
1250,0.326279,2.613340
1260,0.925518,0.590774
1270,1.427654,0.362627
1280,1.117652,0.606968
1290,0.620648,0.441647
1300,0.875895,0.472677
1310,0.979566,0.877451
1320,0.650175,0.611654
1330,1.138938,0.510907
1340,0.729373,1.014788
1350,0.829662,0.217103
1360,0.772962,0.603220
1370,0.648754,0.922204
1380,0.587306,0.570063
1390,0.547514,0.051869
1400,0.461263,0.687001
1410,0.533947,0.100723
1420,0.437103,1.124350
1430,0.724620,0.125187
1440,0.460884,1.100280
1450,0.279789,3.602441
1460,0.523442,0.650398
1470,0.797686,0.801064
1480,0.365262,0.221078
1490,0.680135,0.172802
1500,0.515390,1.797504
1510,0.640903,0.845817
1520,0.434986,1.061841
1530,0.383793,0.375846
1540,0.370424,0.335902
1550,3.184742,0.088346
1560,0.244516,3.268841
1570,1.445665,0.512878
1580,0.797969,1.023204
1590,0.655513,0.778552
1600,0.397514,0.821599
1610,0.530426,0.280770
1620,0.500462,0.663346
1630,0.578856,1.312019
1640,0.564158,0.885588
1650,0.510014,0.296703
1660,0.525093,1.669622
1670,0.472930,2.094367
1680,0.345570,0.215907
1690,0.320048,0.235394
1700,0.609810,0.278070
1710,0.527750,0.115118
1720,0.354668,0.937879
1730,0.061259,0.329405
1740,0.510344,0.680436
1750,0.320818,0.287745
1760,0.705256,0.702232
1770,0.321766,1.921649
1780,0.664486,0.754152
1790,0.610036,1.248566
1800,0.772978,0.453981
1810,0.287274,0.306430
1820,0.377363,2.595358
1830,0.252845,2.073226
1840,0.503444,1.288691
1850,0.484853,0.225665
1860,0.295128,3.192063
1870,0.588951,1.797654
1880,0.699898,0.293976
1890,0.562349,1.195891
1900,0.548616,1.104052
1910,0.542365,1.055730
1920,0.605228,0.102411
1930,0.540523,0.262084
1940,0.153844,5.206213
1950,0.044307,0.042528
1960,0.291769,0.090387
1970,3.692626,0.065868
1980,2.152700,0.162723
1990,1.742002,0.293736
2000,1.185326,0.594834
2010,1.582532,0.435529
2020,1.329988,0.574899
2030,1.157622,0.746630
2040,1.168406,0.690926
2050,1.158226,0.671853
2060,1.170010,0.518090
2070,0.971222,0.697121
2080,0.990389,0.320772
2090,0.790119,0.271382
2100,1.055486,0.706381
2110,0.967548,0.695053
2120,0.868747,0.355680
2130,0.870397,0.224303
2140,0.670224,0.238044
2150,0.832792,0.256288
2160,0.777098,0.220414
2170,0.876969,0.313304
2180,0.884052,0.201754
2190,0.725925,0.173971
2200,0.875500,0.300075
2210,0.848031,0.183793
2220,0.927301,0.312811
2230,0.768708,0.554649
2240,0.664269,0.494276
2250,0.791424,0.711820
2260,0.945817,0.800245
2270,0.935125,0.506005
2280,0.783640,0.426417
2290,0.652395,0.467152
2300,0.889002,0.635594
2310,0.611779,0.112307
2320,0.534086,0.283091
2330,0.554563,0.467716
2340,0.562497,0.107564
2350,0.780954,0.366587
2360,0.451215,0.177146
2370,1.092373,0.548582
2380,0.934214,0.442394
2390,0.978798,0.370423
2400,0.842645,0.498124
2410,0.551425,0.295660
2420,0.716393,0.528088
2430,1.165761,0.601182
2440,0.622622,0.342344
2450,0.947317,0.570449
2460,1.035086,0.688629
2470,0.916635,0.408991
2480,0.699463,0.232266
2490,0.766253,0.351783
2500,0.666184,0.973175
2510,0.473026,0.353572
2520,0.912475,0.867107
2530,0.586601,0.101544
2540,1.042829,0.637144
2550,0.732415,0.099803
2560,1.050402,0.924891
2570,0.495646,0.424847
2580,1.337148,0.194141
2590,1.120763,0.311756
2600,0.965884,0.878083
2610,0.500929,0.867445
2620,1.074622,1.361100
2630,0.875247,1.000072
2640,1.359477,0.301073
2650,1.077318,0.524421
2660,0.584366,0.248224
2670,0.385166,0.186467
2680,0.457892,0.301020
2690,0.305484,0.692452
2700,0.504859,0.837248
2710,1.030956,0.685559
2720,0.855355,0.016469
2730,0.987064,0.817510
2740,1.091851,0.145911
2750,1.101218,0.857671
2760,0.297429,0.039477
2770,0.678171,0.542370
2780,0.727684,0.519676
2790,0.464314,0.707147
2800,0.977462,1.536577
2810,1.080108,0.695762
2820,0.923014,0.415699
2830,0.667725,1.151114
2840,0.521693,0.081656
2850,0.253988,0.012442
2860,0.298555,3.718917
2870,1.455642,0.207722
2880,0.307210,2.745961
2890,1.203592,0.710852
2900,0.568709,0.930197
2910,1.062064,0.769570
2920,0.603052,0.467115
2930,0.824812,0.628578
2940,1.178545,0.603862
2950,1.071515,0.663158
